City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
180,lensk,60.7253,114.9278,0.12,81,100,5.31,RU,1696201058
181,lebu,-37.6167,-73.65,9.63,80,100,2.92,CL,1696201058
182,puerto baquerizo moreno,-0.9,-89.6,25.55,73,75,6.17,EC,1696201058
183,college,64.8569,-147.8028,10.18,55,100,0.0,US,1696200856
184,whistler,50.1164,-122.9695,16.57,36,100,0.0,CA,1696200918
185,namibe,-15.1961,12.1522,19.29,78,0,2.31,AO,1696201059
186,decorah,43.3033,-91.7857,31.51,35,0,4.63,US,1696201059
187,baiyin,36.5583,104.2081,14.01,72,100,4.13,CN,1696201059
188,elliot lake,46.3834,-82.6331,17.95,82,100,1.38,CA,1696201059
189,koh kong,11.6175,102.9806,26.37,87,93,3.67,KH,1696201059
190,koesan,36.8108,127.7947,9.55,74,54,0.37,KR,1696201059
191,uturoa,-16.7333,-151.4333,25.79,82,23,7.66,PF,1696200843
192,longyearbyen,78.2186,15.6401,-3.09,59,75,9.26,SJ,1696201059
193,brak,27.5496,14.2714,26.11,37,47,7.87,LY,1696201060
194,crane,31.3974,-102.3501,31.02,35,8,9.45,US,1696201060
195,chernogorsk,53.8236,91.2842,2.76,93,75,0.0,RU,1696201060
196,jinchang,38.4953,102.1739,13.23,42,100,0.96,CN,1696201060
197,mount gambier,-37.8333,140.7667,13.46,56,0,4.27,AU,1696201060
198,yamada,39.4667,141.95,18.43,59,0,1.78,JP,1696201060
199,kharkhorin,47.1975,102.8238,6.02,47,99,2.42,MN,1696201060
200,tual,-5.6667,132.75,26.45,87,89,3.69,ID,1696201060
201,chibuto,-24.6867,33.5306,19.54,59,55,5.45,MZ,1696201061
202,keflavik,64.0049,-22.5624,8.95,87,0,2.57,IS,1696201061
203,swakopmund,-22.6833,14.5333,12.47,90,22,2.8,NA,1696200860
204,korla,41.7597,86.1469,16.43,36,0,4.02,CN,1696201061
205,amurzet,47.6967,131.0981,8.08,76,76,4.04,RU,1696201061
206,fortuna,40.5982,-124.1573,20.75,66,0,5.66,US,1696201061
207,saudarkrokur,65.7461,-19.6394,5.81,90,100,2.63,IS,1696201061
208,tanjung pandan,-2.75,107.65,24.32,88,95,3.22,ID,1696201061
209,minot,48.2325,-101.2963,21.12,78,100,4.12,US,1696201061
210,temperance,41.7792,-83.5688,25.1,68,0,0.0,US,1696201061
211,fort st. john,56.2499,-120.8529,12.94,47,75,6.17,CA,1696200823
212,sao jose da coroa grande,-8.8978,-35.1478,23.67,74,3,3.14,BR,1696201062
213,jalqani,12.4486,34.2186,24.23,79,5,3.27,SD,1696201062
214,lerwick,60.1545,-1.1494,12.0,87,37,6.75,GB,1696201062
215,tralee,52.2704,-9.7026,10.9,94,100,2.57,IE,1696200853
216,berbera,10.4396,45.0143,29.24,73,0,3.45,SO,1696201062
217,argo,37.6333,22.7333,19.32,55,2,1.82,GR,1696201062
218,nantucket,41.2835,-70.0995,16.08,85,100,6.69,US,1696201062
219,honcho,35.6931,139.9833,23.9,47,98,3.75,JP,1696201062
220,lazaro cardenas,17.9583,-102.2,30.68,72,21,4.18,MX,1696200872
221,amga,60.8953,131.9608,4.43,96,97,0.89,RU,1696201063
222,tucurui,-3.7661,-49.6725,32.21,43,87,0.75,BR,1696200847
223,port victoria,0.0939,33.9756,21.42,77,79,3.89,KE,1696201063
224,airway heights,47.6446,-117.5933,18.92,39,20,3.09,US,1696201063
225,upata,8.0086,-62.3989,28.28,60,100,1.36,VE,1696201063
226,padang,-0.9492,100.3543,26.03,91,100,2.3,ID,1696201063
227,marshall,34.3834,-86.3333,29.61,57,40,0.0,US,1696201063
228,skikda,36.8762,6.9092,21.83,83,0,1.34,DZ,1696201063
229,vorkuta,67.5,64.0,9.15,94,100,5.78,RU,1696201063
230,anadyr,64.75,177.4833,1.28,64,0,5.0,RU,1696201064
231,port douglas,-16.4833,145.4667,23.88,74,40,3.05,AU,1696201064
232,rongelap,11.1635,166.8941,29.09,74,55,6.88,MH,1696200881
233,tchintabaraden,15.8969,5.7985,30.1,44,8,8.12,NE,1696201064
234,saraykent,39.6936,35.5111,13.35,88,100,0.85,TR,1696201064
235,dunbar,38.3606,-81.7374,24.05,75,0,1.84,US,1696200901
236,ust-nera,64.5667,143.2,-2.1,62,62,3.13,RU,1696201064
237,pocao de pedras,-4.6667,-44.85,31.84,38,58,3.41,BR,1696201064
238,susuman,62.7833,148.1667,-2.79,92,16,1.34,RU,1696201064
239,lubango,-14.9172,13.4925,17.92,55,3,1.54,AO,1696201064
240,el granada,37.5027,-122.4694,26.07,61,40,6.17,US,1696201065
241,kingston,17.997,-76.7936,30.53,83,75,3.09,JM,1696200581
242,fauske,67.2588,15.3918,8.02,84,100,2.74,NO,1696201065
243,sitangkai,4.6628,119.3928,28.48,79,100,7.94,PH,1696201065
244,manismata,-2.4667,111.0333,21.99,93,96,0.98,ID,1696201065
245,mar del plata,-38.0023,-57.5575,10.61,90,20,4.63,AR,1696201065
246,motygino,58.1831,94.7592,0.44,72,100,2.68,RU,1696201065
247,vernon,50.2581,-119.2691,19.31,54,30,1.79,CA,1696201065
248,mugia,43.1041,-9.2179,18.28,75,67,2.48,ES,1696201065
249,arauca,7.0847,-70.7591,31.98,62,0,1.54,CO,1696201066
250,tiquipaya,-17.3382,-66.2189,24.4,31,75,3.6,BO,1696201066
251,santa maria,-29.6842,-53.8069,14.61,72,0,1.54,BR,1696200998
252,cedeira,43.6797,-8.0209,17.99,77,77,1.6,ES,1696201066
253,sinah,36.809,43.0389,21.3,55,100,1.64,IQ,1696201066
254,surovikino,48.6078,42.8486,13.47,49,92,3.12,RU,1696201066
255,sittwe,20.15,92.9,25.95,90,92,5.13,MM,1696201066
256,alice springs,-23.7,133.8833,29.75,19,62,7.2,AU,1696201016
257,escanaba,45.7453,-87.0646,22.51,94,0,3.6,US,1696200862
258,jilib,0.4883,42.7854,24.23,83,10,3.81,SO,1696201067
259,mariehamn,60.0973,19.9348,12.68,100,73,0.0,AX,1696201067
260,pasuquin,18.3328,120.6177,26.97,94,100,0.51,PH,1696201067
261,papao,-17.75,-149.55,27.82,84,8,7.55,PF,1696201067
262,tukrah,32.5341,20.5791,22.82,71,6,3.61,LY,1696201067
263,pokhara,28.2333,83.9833,20.92,79,81,1.02,NP,1696201067
264,kakching,24.4833,93.9833,20.22,98,79,1.17,IN,1696201067
265,sechura,-5.5569,-80.8222,23.45,67,45,7.43,PE,1696201067
266,nova vicosa,-17.8919,-39.3719,22.95,73,36,5.5,BR,1696200836
267,karratha,-20.7377,116.8463,22.68,41,1,8.46,AU,1696200870
268,marsa alam,25.0757,34.8918,29.64,51,25,7.19,EG,1696200851
269,motilla del palancar,39.5709,-1.9068,20.34,41,5,2.12,ES,1696201068
270,mulayjah,27.271,48.4242,29.72,20,0,3.79,SA,1696201068
271,angaur state,6.906,134.13,28.22,78,40,2.75,PW,1696201068
272,ilebo,-4.3167,20.5833,21.2,90,75,0.31,CD,1696201068
273,smithers,54.7804,-127.1743,8.18,93,100,1.03,CA,1696201068
274,sinabang,2.4803,96.3801,26.38,84,100,5.18,ID,1696201068
275,mulanje,-16.0316,35.5,24.93,46,25,3.9,MW,1696201068
276,bamboo flat,11.7,92.7167,26.05,94,75,1.03,IN,1696201069
277,rampur,28.8167,79.0333,24.57,83,8,1.9,IN,1696201069
278,starodub,52.5844,32.7633,8.41,90,81,2.87,RU,1696201069
279,jefferson city,38.5767,-92.1735,32.95,25,0,3.13,US,1696200913
280,siocon,7.7061,122.1353,26.71,82,100,2.17,PH,1696201069
281,sisimiut,66.9395,-53.6735,0.68,72,99,2.26,GL,1696201069
282,neiafu,-18.65,-173.9833,25.38,61,40,5.14,TO,1696201069
283,cacequi,-29.8836,-54.825,12.65,76,0,3.65,BR,1696201069
284,severobaykal'sk,55.65,109.3167,1.39,73,57,3.57,RU,1696200842
285,malango,-2.9627,119.9001,20.67,94,94,0.1,ID,1696201070
286,gornozavodsk,58.3758,58.3211,9.66,80,98,4.08,RU,1696201070
287,kostyantynivka,48.5277,37.7069,17.22,44,34,1.76,UA,1696201070
288,siauliai,55.9333,23.3167,10.01,93,4,4.12,LT,1696201070
